city_query,country,region,locality,district,active_listings
Auckland,New Zealand,Auckland,Albert-Eden,,
Auckland,New Zealand,Auckland,Albert-Eden,Mount Eden,
Auckland,New Zealand,Auckland,Albert-Eden,Point Chevalier,
Auckland,New Zealand,Auckland,Albert-Eden,Epsom,
Auckland,New Zealand,Auckland,Albert-Eden,Kingsland,
Auckland,New Zealand,Auckland,Albert-Eden,Morningside,
Auckland,New Zealand,Auckland,Albert-Eden,Sandringham,
Auckland,New Zealand,Auckland,Albert-Eden,Kingsland,
Auckland,New Zealand,Auckland,Albert-Eden,Balmoral,
Auckland,New Zealand,Auckland,Albert-Eden,Mount Albert,
Auckland,New Zealand,Auckland,Albert-Eden,Mount Eden,
Auckland,New Zealand,Auckland,Albert-Eden,Western Springs,
Auckland,New Zealand,Auckland,Aotea Great Barrier,,
Auckland,New Zealand,Auckland,Devonport-Takapuna,,
Auckland,New Zealand,Auckland,Devonport-Takapuna,Takapuna,
Auckland,New Zealand,Auckland,Devonport-Takapuna,Hauraki,
Auckland,New Zealand,Auckland,Devonport-Takapuna,Devonport,
Auckland,New Zealand,Auckland,Devonport-Takapuna,Vauxhall,
Auckland,New Zealand,Auckland,Devonport-Takapuna,Milford,
Auckland,New Zealand,Auckland,Devonport-Takapuna,Vauxhall,
Auckland,New Zealand,Auckland,Franklin,,
Auckland,New Zealand,Auckland,Franklin,Pukekohe,
Auckland,New Zealand,Auckland,Henderson-Massey,,
Auckland,New Zealand,Auckland,Henderson-Massey,Henderson,
Auckland,New Zealand,Auckland,Henderson-Massey,Te Atatū Peninsula,
Auckland,New Zealand,Auckland,Hibiscus and Bays,,
Auckland,New Zealand,Auckland,Hibiscus and Bays,Hibiscus Coast,
Auckland,New Zealand,Auckland,Hibiscus and Bays,Hibiscus Coast,
Auckland,New Zealand,Auckland,Hibiscus and Bays,Hibiscus Coast,
Auckland,New Zealand,Auckland,Hibiscus and Bays,Browns Bay,
Auckland,New Zealand,Auckland,Howick,,
Auckland,New Zealand,Auckland,Howick,Donegal Park,
Auckland,New Zealand,Auckland,Kaipātiki,,
Auckland,New Zealand,Auckland,Kaipātiki,Highbury,
Auckland,New Zealand,Auckland,Kaipātiki,Northcote,
Auckland,New Zealand,Auckland,Kaipātiki,Chatswood,
Auckland,New Zealand,Auckland,Kaipātiki,Hillcrest,
Auckland,New Zealand,Auckland,Kaipātiki,Birkenhead,
Auckland,New Zealand,Auckland,Manurewa,,
Auckland,New Zealand,Auckland,Maungakiekie-Tāmaki,,
Auckland,New Zealand,Auckland,Maungakiekie-Tāmaki,One Tree Hill,
Auckland,New Zealand,Auckland,Māngere-Ōtāhuhu,,
Auckland,New Zealand,Auckland,Māngere-Ōtāhuhu,Māngere,
Auckland,New Zealand,Auckland,Māngere-Ōtāhuhu,Māngere Bridge,
Auckland,New Zealand,Auckland,Māngere-Ōtāhuhu,Favona,
Auckland,New Zealand,Auckland,Papakura,,
Auckland,New Zealand,Auckland,Puketāpapa,,
Auckland,New Zealand,Auckland,Puketāpapa,Three Kings,
Auckland,New Zealand,Auckland,Puketāpapa,Hillsborough,
Auckland,New Zealand,Auckland,Rodney,,
Auckland,New Zealand,Auckland,Rodney,Matakana,
Auckland,New Zealand,Auckland,Rodney,Ōmaha,
Auckland,New Zealand,Auckland,Rodney,Point Wells,
Auckland,New Zealand,Auckland,Rodney,Snells Beach,
Auckland,New Zealand,Auckland,Rodney,Muriwai,
Auckland,New Zealand,Auckland,Rodney,Warkworth,
Auckland,New Zealand,Auckland,Upper Harbour,,
Auckland,New Zealand,Auckland,Upper Harbour,Hobsonville Point,
Auckland,New Zealand,Auckland,Waiheke,,
Auckland,New Zealand,Auckland,Waiheke,Onetangi,
Auckland,New Zealand,Auckland,Waiheke,Palm Beach,
Auckland,New Zealand,Auckland,Waiheke,Surfdale,
Auckland,New Zealand,Auckland,Waiheke,Blackpool,
Auckland,New Zealand,Auckland,Waiheke,Oneroa,
Auckland,New Zealand,Auckland,Waiheke,Palm Beach,
Auckland,New Zealand,Auckland,Waiheke,Ōmiha,
Auckland,New Zealand,Auckland,Waiheke,Ostend,
Auckland,New Zealand,Auckland,Waitematā,,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
