date,occupancy_avg,occupancy_p25,occupancy_p50,occupancy_p75,occupancy_p90,average_daily_rate_avg,average_daily_rate_p25,average_daily_rate_p50,average_daily_rate_p75,average_daily_rate_p90,revpar_avg,revpar_p25,revpar_p50,revpar_p75,revpar_p90,revenue_avg,revenue_p25,revenue_p50,revenue_p75,revenue_p90,booking_lead_time_avg,booking_lead_time_p25,booking_lead_time_p50,booking_lead_time_p75,booking_lead_time_p90,length_of_stay_avg,length_of_stay_p25,length_of_stay_p50,length_of_stay_p75,length_of_stay_p90,active_listings_count,country,region,locality
2024-08-01,0.64,0.47,0.71,0.85,0.92,624.7,329.3,520.6,774.4,1158.2,396.3,167.5,332.4,525.9,780.6,12284.3,5191.4,10304.9,16301.7,24201.3,60.4,26.0,42.0,79.0,133.0,3.8,2.0,3.0,4.0,7.0,2323,New Zealand,Otago,Queenstown
2024-09-01,0.55,0.32,0.59,0.79,0.9,552.6,290.1,453.3,676.6,1031.6,293.1,114.5,234.6,387.7,590.8,8792.6,3435.1,7036.9,11632.0,17721.2,60.1,29.0,50.0,75.0,117.0,3.6,2.0,3.0,4.0,6.0,2302,New Zealand,Otago,Queenstown
2024-10-01,0.52,0.26,0.53,0.76,0.88,521.9,273.6,420.9,632.9,986.7,256.8,100.0,197.6,342.2,521.7,7960.4,3098.9,6123.4,10606.9,16171.9,61.6,25.0,54.0,86.0,120.0,4.0,2.0,3.0,4.0,7.0,2293,New Zealand,Otago,Queenstown
2024-11-01,0.54,0.25,0.59,0.82,0.9,569.9,306.9,476.3,696.5,1048.1,290.2,116.5,236.4,389.9,569.1,8706.6,3493.3,7093.2,11698.2,17068.9,75.5,33.0,72.0,110.0,144.0,5.0,2.0,3.0,4.0,9.0,2456,New Zealand,Otago,Queenstown
2024-12-01,0.65,0.46,0.73,0.87,0.94,627.1,338.2,532.5,771.8,1140.2,401.6,179.3,351.4,531.9,756.0,12450.7,5557.5,10893.7,16489.4,23435.7,87.7,37.0,80.0,127.0,170.0,4.5,2.0,3.0,5.0,8.0,2514,New Zealand,Otago,Queenstown
2025-01-01,0.68,0.51,0.77,0.89,0.94,648.2,340.6,554.4,805.4,1177.5,432.0,184.5,377.7,576.7,819.1,13392.4,5719.0,11710.9,17878.1,25391.3,73.0,28.0,61.0,109.0,155.0,4.4,2.0,3.0,4.0,8.0,2613,New Zealand,Otago,Queenstown
2025-02-01,0.66,0.46,0.75,0.89,0.93,589.1,302.8,495.2,731.2,1077.4,364.5,176.3,315.8,473.0,669.0,10204.7,4936.9,8842.6,13243.9,18733.2,62.8,23.0,48.0,83.0,138.0,4.1,2.0,3.0,4.0,7.0,2598,New Zealand,Otago,Queenstown
2025-03-01,0.6,0.36,0.66,0.84,0.92,568.4,304.5,466.6,703.3,1042.0,316.5,142.0,265.7,408.7,609.3,9810.2,4402.9,8235.3,12670.3,18888.1,60.1,23.0,45.0,80.0,133.0,4.1,2.0,3.0,4.0,6.0,2272,New Zealand,Otago,Queenstown
2025-04-01,0.59,0.4,0.63,0.82,0.9,549.1,294.1,459.0,682.1,1009.7,316.4,143.3,253.6,416.6,612.0,9492.0,4300.4,7607.1,12497.3,18359.9,64.3,31.0,53.0,84.0,123.0,3.8,2.0,3.0,4.0,6.0,2301,New Zealand,Otago,Queenstown
2025-05-01,0.41,0.17,0.36,0.66,0.81,487.3,260.0,395.5,601.5,893.0,192.4,66.0,140.7,267.2,405.1,5965.9,2045.5,4362.7,8283.3,12559.9,49.3,16.0,37.0,66.0,108.0,4.4,2.0,3.0,4.0,7.0,2310,New Zealand,Otago,Queenstown
2025-06-01,0.39,0.14,0.34,0.63,0.82,583.7,315.8,483.8,716.3,1057.3,216.4,63.0,145.9,301.7,483.9,6491.5,1887.6,4376.7,9049.9,14517.5,52.5,15.0,40.0,77.0,117.0,3.8,2.0,3.0,5.0,6.0,2336,New Zealand,Otago,Queenstown
2025-07-01,0.47,0.15,0.46,0.79,0.9,653.5,343.4,562.1,810.8,1191.6,305.2,79.6,205.0,439.6,692.3,9459.8,2466.8,6353.5,13627.4,21460.3,80.0,33.0,63.0,114.0,168.0,5.9,3.0,4.0,5.0,8.0,2351,New Zealand,Otago,Queenstown
